iteration,loss,rel_l2_error
0.0,0.039,1.2
100.0,0.0019,0.49
200.0,0.0019,0.38
300.0,0.0013,0.37
400.0,0.00073,0.36
500.0,0.00081,0.31
600.0,0.00091,0.32
700.0,0.00048,0.3
800.0,0.00058,0.25
900.0,0.0005,0.24
1000.0,0.00029,0.21
1100.0,0.00026,0.2
1200.0,0.00035,0.14
1300.0,0.00024,0.12
1400.0,0.00016,0.1
1500.0,0.00018,0.073
1600.0,5.7e-05,0.055
1700.0,6.3e-05,0.042
1800.0,4.3e-05,0.03
1900.0,3.4e-05,0.028
2000.0,3.5e-05,0.033
2100.0,4.5e-05,0.021
2200.0,4.5e-05,0.026
2300.0,3e-05,0.022
2400.0,3e-05,0.023
2500.0,7.2e-05,0.019
2600.0,2.7e-05,0.013
2700.0,3.1e-05,0.015
2800.0,1.8e-05,0.015
2900.0,1.5e-05,0.013
3000.0,4.3e-05,0.014
3100.0,2.5e-05,0.013
3200.0,1.7e-05,0.015
3300.0,2.2e-05,0.012
3400.0,1.9e-05,0.019
3500.0,6.2e-06,0.015
3600.0,2.5e-05,0.013
3700.0,1.7e-05,0.01
3800.0,1.3e-05,0.019
3900.0,8.6e-06,0.0083
4000.0,7.3e-06,0.016
4100.0,9.9e-06,0.019
4200.0,1.9e-05,0.017
4300.0,2.4e-05,0.011
4400.0,1e-05,0.011
4500.0,1.5e-05,0.0076
4600.0,5.9e-06,0.0096
4700.0,5.6e-06,0.013
4800.0,2.3e-05,0.024
4900.0,4.7e-06,0.011
5000.0,3.2e-05,0.028
5100.0,3e-06,0.0094
5200.0,9.9e-06,0.011
5300.0,2.6e-06,0.006
5400.0,2e-06,0.0079
5500.0,6.7e-06,0.012
5600.0,1.4e-05,0.013
5700.0,5e-06,0.0084
5800.0,2.9e-06,0.0094
5900.0,4.3e-05,0.011
6000.0,2.2e-06,0.0077
6100.0,6.3e-06,0.013
6200.0,2.5e-06,0.0081
6300.0,2.5e-06,0.0064
6400.0,2.9e-06,0.0053
6500.0,2.8e-06,0.0089
6600.0,2.5e-06,0.0074
6700.0,1e-05,0.011
6800.0,4.6e-05,0.026
6900.0,1.6e-06,0.0045
7000.0,1.3e-06,0.0061
7100.0,1.4e-06,0.0051
7200.0,3.7e-06,0.0043
7300.0,1.3e-06,0.0056
7400.0,3e-06,0.008
7500.0,2e-06,0.01
7600.0,7.4e-06,0.028
7700.0,4.3e-06,0.0084
7800.0,1.4e-06,0.0052
7900.0,4.4e-06,0.015
8000.0,1.6e-05,0.016
8100.0,9.1e-07,0.0061
8200.0,1.5e-06,0.0099
8300.0,1e-06,0.0065
8400.0,5.1e-06,0.012
8500.0,9.5e-06,0.011
8600.0,9.4e-07,0.0043
8700.0,1.7e-06,0.0087
8800.0,1.1e-06,0.0058
8900.0,7.1e-06,0.014
9000.0,1.6e-06,0.011
9100.0,1.7e-06,0.0058
9200.0,2e-06,0.0048
9300.0,1e-06,0.0048
9400.0,3.1e-06,0.0055
9500.0,1.1e-06,0.0042
9600.0,1.6e-05,0.015
9700.0,1.1e-06,0.0038
9800.0,7.8e-06,0.015
9900.0,1e-06,0.0047
10001.0,1.264838e-06,0.004199124
10100.0,4.581027e-07,0.001248531
10200.0,3.04975e-07,0.0009231984
10300.0,1.776093e-07,0.0007981466
10400.0,9.539255e-08,0.0006564701
10443.0,9.539255e-08,0.0006104
